,r0,r1,r2,r3,r4,p0,p1,p2,p3,rate
200,N,[O],,,,[NH2],O,,,78014683283.90715
201,N,[N]O[N],[H],,,[NH2],O,N#N,,10869117909.533867
202,[N][NH],[O],O[O],,,N#N,O,O=O,,1104372647.176707
203,[N][NH],[H],O[O],,,N#N,O,,,1104372647.176707
204,[N][NH],[H][H],O=O,,,N#N,O,,,14422307520.068401
205,[N][NH],[O],[H][H],,,N#N,O,[H],,6080375046.156864
206,[H][H],[NH2],NN,[O],,O,[H],[NH][NH],N,1042972275.6808978
207,[O],NN,,,,O,[NH][NH],,,1042972275.6808978
208,[H][H],O=O,[NH2],NN,,[NH][NH],O,N,,3030448187.1951485
209,O=O,[H],NN,,,[NH][NH],O,,,3030448187.1951485
210,[H][H],O=O,NN,,,[NH][NH],O,,,2298477051.893803
211,[O],[H][H],[NH2],NN,,[NH][NH],O,N,[H],1277622288.2817366
212,[O],NN,,,,[NH][NH],O,,,1277622288.2817366
213,[H][H],O=O,[NH2],NN,,N,N=O,,,3030448187.1951485
214,O=O,[H],NN,,,N,N=O,,,3030448187.1951485
215,[H][H],O=O,NN,,,N,N=O,O,,2298477051.893803
216,[O],[H][H],[NH2],NN,,N,N=O,[H],,1277622288.2817366
217,[O],NN,,,,N,N=O,,,1277622288.2817366
218,[H],NN,,,,N,,,,3995522255.7943873
219,[H],NN,,,,[NH2],[H][H],,,3995522255.7943873
220,[H],NN,[H][H],O=O,,[NH2],O,,,3030448187.1951485
221,NN,[O],[H][H],,,[NH2],O,,,1277622288.2817366
222,[O],NN,,,,N=O,N,,,2833640872.357459
223,[O],NN,[H],,,[NH2],N=O,[H][H],,2833640872.357459
224,[O],NN,[H][H],O=O,,[NH2],N=O,O,,2149206360.281039
225,[N][NH],[H],,,,N#N,[H][H],,,1118854347.836238
226,[N][NH],,,,,N#N,OO,,,1118854347.836238
227,[NH],[O],O[O],,,O=O,N=O,O,,6150423455.893199
228,[NH],O[O],,,,N=O,O,[N],,1231755807.137335
229,[NH],O[O],[H],,,N=O,[O],O,,6150423455.893199
230,O[O],[NH2],,,,N=O,O,,,3348605717.1897726
231,[NH],O[O],,,,O,[N]=O,,,3426522607.292984
232,[NH],O[O],[H][H],,,N=O,O,[H],,33862556628.973732
233,[NH],O[O],N,,,N=O,O,[NH2],,1330574068.0929656
234,[NH],[O],O[O],,,O=O,N=O,O,,6150423455.893199
235,[NH2],O[O],,,,N=O,O,,,3348605717.1897736
236,[NH],[H][H],O[O],,,N=O,O,[H],,80320079174.63431
237,[NH],[H],O[O],,,N=O,O,,,3348605717.1897736
238,[NH],O[O],,,,N=O,[N],O,,1231755807.137335
239,[NH],O[O],,,,[N]=O,O,,,3426522607.292984
240,[NH],O[O],,,,N=O,[O],O,,3348605717.1897736
241,[NH],N,O[O],,,N=O,[NH2],O,,3348605717.1897736
242,[NH],[N]=O,O[O],,,N=O,[O],,,14096740974.399279
243,[NH],O[O],[H],,,N=O,[O],[H][H],,105898746358.8509
244,[NH],O[O],,,,N=O,[O],OO,,105898746358.8509
245,[NH],[N]O[N],,,,N=O,N#N,,,3191852445.956733
246,[H],O[O],[O],,,O=O,O,,,21218487529.671738
247,[H],[NH],[O],,,O,[N],,,4249462727.367391
248,[H],[N]=O,,,,O,[N],,,2650695890.0683594
249,[H],O[O],,,,O,,,,21218487529.671738
250,[H],[NH2],[O],,,O,[NH],,,11552431984.808771
251,[H],N=O,[O],,,O,[N]=O,,,11821239258.46432
252,[O],[H][H],,,,O,,,,116823213996.13872
253,[H],N,[O],,,O,[NH2],,,4590378121.70204
254,[H],O[O],[O],,,O=O,O,,,21218487529.671738
255,[H],[NH2],[O],,,[NH],O,,,11552431984.808773
256,[H][H],[O],,,,O,,,,277098090980.4236
257,[H],[O],,,,O,,,,11552431984.808773
258,[H],[NH],[O],,,O,[N],,,4249462727.3673916
259,[H],NN,[O],,,N[NH],O,,,2234993469.9701424
260,[H],N=O,[O],,,[N]=O,O,,,11821239258.46432
261,[H],,,,,O,,,,11552431984.808773
262,[H],N,[O],,,[NH2],O,,,11552431984.808773
263,[H],[N]=O,,,,N=O,,,,48632671346.83251
264,[H],,,,,[H][H],,,,365342523996.47577
265,[H],,,,,OO,,,,365342523996.47577
266,[H],[N]O[N],[O],,,O[O],N#N,,,11011645264.228329
267,OO,[H][H],[O],,,O,[H],,,4968938395.1607895
268,OO,[H][H],[O],,,O,[H],,,11786042314.705479
269,OO,[H][H],[N]=O,,,O,N=O,,,2068533638.5497768
270,OO,[H],,,,O,,,,15539415778.537327
271,[H][H],,,,,O,,,,15539415778.537327
272,[NH2],[H][H],O[O],[O],,[NH],O,O=O,,16093397296.452349
273,[NH2],[H][H],O[O],[O],,O,[N],,,3223052155.4543333
274,[NH2],[H][H],O[O],[H],[N]=O,[NH],O,[N],,2010449708.5991611
275,[NH2],[H][H],O[O],[H],,[NH],O,,,16093397296.452349
276,[NH2],[H][H],O[O],[O],,[NH],O,,,8762070218.8026
277,[NH2],[H][H],O[O],N=O,[O],[NH],O,[N]=O,,8965950078.055786
278,[NH2],[H][H],O[O],[O],,[NH],O,[H],,88605862866.4858
279,[H][H],O[O],N,[O],,[NH],O,,,3481623218.911706
280,[NH2],[H][H],O[O],[O],,[NH],O,O=O,,16093397296.452349
281,[NH2],[H][H],[O],O[O],,[NH],O,,,8762070218.802603
282,[NH2],[H][H],O[O],[O],,[NH],O,[H],,210168121643.93912
283,[NH2],[H][H],[H],O[O],[O],[NH],O,,,8762070218.802603
284,[NH2],[H][H],O[O],[O],,O,[N],,,3223052155.4543343
285,[NH2],[H][H],NN,[O],O[O],[NH],O,N[NH],,1695155595.6525145
286,[NH2],[H][H],N=O,[O],O[O],[NH],O,[N]=O,,8965950078.055786
287,[NH2],[H][H],O[O],,,[NH],O,,,8762070218.802603
288,[H][H],N,[O],O[O],,[NH],O,,,8762070218.802603
289,[NH2],[H][H],[N]=O,O[O],,[NH],O,N=O,,36885989186.45348
290,[NH2],[H],O[O],,,[NH],O,,,277098090980.42346
291,[NH2],[H][H],O[O],,,[NH],O,OO,,277098090980.42346
292,[NH2],[H][H],[N]O[N],[O],,[NH],O,N#N,,8351904530.283272
293,[N]O[N],[H][H],[O],,,N#N,O,[H],,4905185663.404575
294,[N]O[N],[H][H],[O],,,N#N,O,[H],,11634824421.787226
295,[N]O[N],[H][H],[N]=O,,,N#N,N=O,,,2041993830.7076018
296,[N]O[N],[H],,,,N#N,,,,15340041158.247768
297,[N]O[N],[H][H],,,,N#N,OO,,,15340041158.247768
298,[H][H],O[O],[NH][NH],[O],,O,[H],[N][NH],,4571437673.784763
299,[H][H],O[O],[O],,,O,[H],O=O,,386018257809.312
300,[H][H],O[O],OO,,,O,[H],,,11300572160.341778
301,[H][H],O[O],[NH],[O],,O,[H],[N],,77308535603.68471
